Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
2,8,28,7,4,1,8,224,224,224,0,0.871657
1,1,28,7,2,4,32,224,224,224,0,0.765123
1,112,2,1,1,112,2,224,224,224,0,0.871308
1,1,7,8,28,4,8,224,224,224,0,0.871293
2,2,1,98,8,1,32,224,224,224,0,0.871751
1,28,14,1,64,2,1,224,224,224,0,0.853186
1,7,1,8,2,224,2,224,224,224,0,0.834783
1,4,4,14,2,16,7,224,224,224,0,0.871329
2,16,1,7,4,56,2,224,224,224,0,0.871242
2,7,1,8,1,128,7,224,224,224,0,0.872069
3,14,2,2,4,56,4,224,224,224,0,0.871292
3,1,7,16,4,16,7,224,224,224,0,0.854432
1,28,2,2,112,1,4,224,224,224,0,0.491733
2,14,4,2,16,14,2,224,224,224,0,0.871739
1,28,2,14,2,4,8,224,224,224,0,0.768941
2,224,1,1,1,56,4,224,224,224,0,0.871715
2,16,7,1,7,64,1,224,224,224,0,0.878921
1,56,2,2,1,112,2,224,224,224,0,0.870965
1,49,4,8,2,1,16,224,224,224,0,0.871572
2,4,98,1,8,4,4,224,224,224,0,0.871821
1,1,1,224,1,8,28,224,224,224,0,0.834172
1,7,1,224,16,1,2,224,224,224,0,0.811619
1,1,16,14,7,16,2,224,224,224,0,0.871821
2,2,28,7,128,1,1,224,224,224,0,0.478623
1,98,1,1,1,64,8,224,224,224,0,0.871807
2,28,28,1,1,1,64,224,224,224,0,0.871755
1,7,2,4,7,128,1,224,224,224,0,0.871849
1,14,2,4,28,2,8,224,224,224,0,0.871846
1,4,28,2,1,4,56,224,224,224,0,0.762579
2,56,2,2,1,14,16,224,224,224,0,0.870975
1,28,28,1,4,2,8,224,224,224,0,0.853694
1,1,4,28,16,14,2,224,224,224,0,0.871631
3,1,4,98,1,16,8,224,224,224,0,0.871911
2,2,7,14,64,2,2,224,224,224,0,0.871647
1,28,2,1,1,448,2,224,224,224,0,0.871462
1,49,1,4,128,1,2,224,224,224,0,0.878979
1,16,1,7,14,32,1,224,224,224,0,0.82835
2,49,8,4,4,2,4,224,224,224,0,0.39
1,7,4,14,1,16,8,224,224,224,0,0.852144
1,32,7,7,4,1,8,224,224,224,0,0.871826
1,14,2,8,1,16,14,224,224,224,0,0.871673
2,7,1,56,16,4,2,224,224,224,0,0.871867
3,1,28,4,1,448,1,224,224,224,0,0.851959
1,1,8,28,56,4,1,224,224,224,0,0.851814
0,4,4,14,2,16,7,224,224,224,0,0.485554
2,1,14,16,4,56,1,224,224,224,0,0.871089
1,4,2,7,32,28,1,224,224,224,0,0.87125
2,4,14,2,14,8,4,224,224,224,0,0.8395
1,1,7,16,224,1,2,224,224,224,0,0.87134
1,4,7,56,8,4,1,224,224,224,0,0.871406
0,98,1,8,16,1,4,224,224,224,0,0.871568
2,16,7,2,4,4,14,224,224,224,0,0.857335
1,2,4,28,16,2,7,224,224,224,0,0.46959
2,7,4,8,4,56,1,224,224,224,0,0.871373
2,8,7,7,2,2,32,224,224,224,0,0.811177
2,8,2,7,8,28,2,224,224,224,0,0.853078
2,2,16,7,4,2,28,224,224,224,0,0.871589
1,1,49,16,1,4,16,224,224,224,0,0.871182
0,2,14,2,16,28,2,224,224,224,0,0.871602
1,7,14,2,32,1,8,224,224,224,0,0.871554
2,1,2,49,64,8,1,224,224,224,0,0.87213
1,2,1,392,16,4,1,224,224,224,0,0.871551
1,28,2,4,7,4,8,224,224,224,0,0.853287
2,2,1,98,2,32,4,224,224,224,0,0.853616
1,1,7,16,16,2,14,224,224,224,0,0.852076
1,49,1,16,8,4,2,224,224,224,0,0.482526
1,1,224,1,4,8,7,224,224,224,0,0.871447
2,7,28,8,4,2,4,224,224,224,0,0.469633
1,56,1,2,8,56,1,224,224,224,0,0.872081
1,16,2,7,2,56,2,224,224,224,0,0.384913
2,14,2,4,4,4,28,224,224,224,0,0.871858
3,2,2,98,2,16,4,224,224,224,0,0.871968
1,8,49,2,2,2,16,224,224,224,0,0.871012
0,2,196,1,32,2,2,224,224,224,0,0.852412
2,1,8,14,28,2,8,224,224,224,0,0.857338
0,14,2,28,4,8,2,224,224,224,0,0.87136
2,7,1,16,28,8,2,224,224,224,0,0.87163
