Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
2,2,40,4,5,8,8,320,320,320,0,0.899616
1,5,20,1,128,4,2,320,320,320,0,0.935643
0,800,2,1,2,1,32,320,320,320,0,0.955917
0,4,5,80,4,16,1,320,320,320,0,0.960452
2,2,10,5,8,4,32,320,320,320,0,0.838596
2,4,40,4,160,1,1,320,320,320,0,0.769776
0,40,8,2,20,1,8,320,320,320,0,0.975178
3,10,16,20,4,8,1,320,320,320,0,0.9278
3,5,8,8,4,80,1,320,320,320,0,0.897828
1,5,4,16,5,1,64,320,320,320,0,0.913157
0,5,4,32,16,10,1,320,320,320,0,0.959279
2,4,2,20,4,160,1,320,320,320,0,0.913928
2,2,32,5,64,1,5,320,320,320,0,0.976969
1,2,4,25,4,16,8,320,320,320,0,0.951703
0,20,1,10,8,16,4,320,320,320,0,0.943169
3,20,1,10,8,16,4,320,320,320,0,0.942731
2,20,1,10,8,16,4,320,320,320,0,0.931062
1,1,8,20,16,2,20,320,320,320,0,0.952532
1,10,1,16,2,64,5,320,320,320,0,0.900239
1,5,8,10,32,2,4,320,320,320,0,0.389654
1,1,128,1,40,4,5,320,320,320,0,0.913233
1,32,1,10,32,1,10,320,320,320,0,0.973451
1,32,50,2,2,16,1,320,320,320,0,0.936397
1,20,16,1,10,16,2,320,320,320,0,0.929882
2,16,20,5,8,1,8,320,320,320,0,0.386882
2,25,4,1,16,1,64,320,320,320,0,0.899874
3,1,25,32,8,1,16,320,320,320,0,0.97423
0,4,200,1,2,16,4,320,320,320,0,0.907872
1,16,20,2,32,5,1,320,320,320,0,0.889864
1,2,160,1,4,4,20,320,320,320,0,0.469416
1,2,25,2,128,4,2,320,320,320,0,0.984081
1,10,8,4,4,20,4,320,320,320,0,0.909371
1,4,40,20,2,4,4,320,320,320,0,0.763476
1,2,64,5,4,1,40,320,320,320,0,0.925324
1,4,25,8,64,1,2,320,320,320,0,0.979313
1,25,2,8,2,8,16,320,320,320,0,0.926055
1,32,5,5,8,4,4,320,320,320,0,0.388088
0,1,20,16,80,1,4,320,320,320,0,0.8789
0,4,4,100,1,16,4,320,320,320,0,0.878791
2,1,25,32,32,1,4,320,320,320,0,0.763323
1,2,20,40,32,2,1,320,320,320,0,0.973412
1,10,32,2,4,4,10,320,320,320,0,0.89605
1,10,1,16,20,32,1,320,320,320,0,0.91244
1,2,2,100,64,2,2,320,320,320,0,0.914373
1,2,40,2,32,5,4,320,320,320,0,0.909827
1,20,1,5,4,256,1,320,320,320,0,0.897201
1,10,20,4,16,8,1,320,320,320,0,0.907257
1,80,1,20,1,32,2,320,320,320,0,0.897329
1,4,1,400,1,1,64,320,320,320,0,0.957731
1,4,10,10,256,1,1,320,320,320,0,0.910466
1,4,8,5,40,8,2,320,320,320,0,0.905473
0,32,10,10,8,2,2,320,320,320,0,0.975422
1,16,1,10,1,80,8,320,320,320,0,0.925471
1,2,100,1,2,64,4,320,320,320,0,0.913791
1,8,4,50,2,32,1,320,320,320,0,0.8999
1,8,1,200,2,1,32,320,320,320,0,0.977235
0,1600,2,1,16,2,1,320,320,320,0,0.944889
1,1,320,2,1,10,16,320,320,320,0,0.968622
2,8,10,4,1,5,64,320,320,320,0,0.941298
1,50,1,2,4,256,1,320,320,320,0,0.899254
1,40,2,4,8,10,4,320,320,320,0,0.873769
2,50,32,1,4,1,16,320,320,320,0,0.925795
0,2,1,50,4,4,64,320,320,320,0,0.940597
3,1,160,20,4,2,4,320,320,320,0,0.900766
1,25,4,2,8,64,1,320,320,320,0,0.97328
1,2,40,4,8,8,5,320,320,320,0,0.763349
1,1,8,16,25,1,32,320,320,320,0,0.898312
1,10,2,8,10,4,16,320,320,320,0,0.70733
1,8,1,25,2,256,1,320,320,320,0,0.489631
1,4,5,8,32,20,1,320,320,320,0,0.908871
0,2,5,320,1,16,2,320,320,320,0,0.82227
3,4,1,50,1,32,16,320,320,320,0,0.913484
0,25,16,1,1,64,4,320,320,320,0,0.732444
1,2,32,2,8,5,20,320,320,320,0,0.84083
1,1,8,25,32,1,16,320,320,320,0,0.909355
1,64,2,5,40,1,4,320,320,320,0,0.896662
1,5,8,8,160,2,1,320,320,320,0,0.959091
1,2,20,4,1,40,16,320,320,320,0,0.950756
1,4,20,4,8,20,2,320,320,320,0,0.927056
1,20,8,4,40,2,2,320,320,320,0,0.961104
1,4,4,20,1,160,2,320,320,320,0,0.897538
1,16,5,8,2,16,5,320,320,320,0,0.837009
3,40,5,4,2,1,64,320,320,320,0,0.823488
2,2,4,25,32,16,1,320,320,320,0,0.855047
2,2,5,64,16,5,2,320,320,320,0,0.910734
2,8,4,25,1,128,1,320,320,320,0,0.896448
1,8,8,10,32,5,1,320,320,320,0,0.901235
1,20,10,1,32,4,4,320,320,320,0,0.908221
1,2,4,20,128,5,1,320,320,320,0,0.488805
1,2,4,40,2,8,20,320,320,320,0,0.898659
1,8,10,8,5,8,4,320,320,320,0,0.489817
1,1,100,1,1,256,4,320,320,320,0,0.984669
1,2,40,10,8,1,16,320,320,320,0,0.763128
1,16,1,25,1,16,16,320,320,320,0,0.874226
2,5,5,64,1,2,32,320,320,320,0,0.913851
1,4,200,1,16,1,8,320,320,320,0,0.909056
2,5,8,16,160,1,1,320,320,320,0,0.488794
1,2,2,160,1,10,16,320,320,320,0,0.911128
3,160,2,1,8,8,5,320,320,320,0,0.931636
1,10,8,20,1,32,2,320,320,320,0,0.976332
1,32,1,50,32,2,1,320,320,320,0,0.763317
1,4,20,4,1,16,20,320,320,320,0,0.936967
1,50,2,2,1,256,2,320,320,320,0,0.90835
1,4,16,2,10,4,20,320,320,320,0,0.490028
1,40,2,4,2,160,1,320,320,320,0,0.895154
0,4,2,16,1,25,32,320,320,320,0,0.881511
1,5,40,16,16,1,2,320,320,320,0,0.763495
2,50,2,4,1,16,16,320,320,320,0,0.707684
1,2,8,40,40,2,2,320,320,320,0,0.89592
1,1,32,5,2,5,64,320,320,320,0,0.872924
3,2,1,64,10,16,5,320,320,320,0,0.964926
0,10,4,8,5,64,1,320,320,320,0,0.938978
0,10,80,1,32,2,2,320,320,320,0,0.926387
1,160,2,1,4,20,4,320,320,320,0,0.46581
1,5,1,128,2,16,5,320,320,320,0,0.822728
1,20,1,20,8,32,1,320,320,320,0,0.763223
1,8,100,1,8,1,16,320,320,320,0,0.90422
1,400,1,2,2,2,32,320,320,320,0,0.825632
1,5,16,8,10,8,2,320,320,320,0,0.491323
0,5,16,4,320,1,1,320,320,320,0,0.938055
1,1,2,80,80,1,8,320,320,320,0,0.95278
0,40,4,4,40,2,2,320,320,320,0,0.91369
2,10,4,10,4,32,2,320,320,320,0,0.963063
0,10,1,16,2,320,1,320,320,320,0,0.763307
1,5,16,4,2,160,1,320,320,320,0,0.904699
1,10,16,4,16,5,2,320,320,320,0,0.913733
1,80,4,1,10,4,8,320,320,320,0,0.912528
1,25,16,8,1,16,2,320,320,320,0,0.910777
1,32,2,10,1,8,20,320,320,320,0,0.898416
2,5,8,80,1,4,8,320,320,320,0,0.92289
1,50,8,8,2,1,16,320,320,320,0,0.969681
1,1,40,5,1,16,32,320,320,320,0,0.489049
1,8,16,1,20,40,1,320,320,320,0,0.952605
2,2,10,8,4,10,16,320,320,320,0,0.942225
3,8,8,5,20,4,4,320,320,320,0,0.764692
1,1,80,2,5,16,8,320,320,320,0,0.763137
1,20,16,1,32,2,5,320,320,320,0,0.958225
1,80,10,4,8,1,4,320,320,320,0,0.951762
1,2,32,5,8,10,4,320,320,320,0,0.967418
1,8,2,100,8,2,4,320,320,320,0,0.909652
1,8,25,1,8,1,64,320,320,320,0,0.763073
1,4,2,16,10,80,1,320,320,320,0,0.894833
1,5,1,128,10,16,1,320,320,320,0,0.490999
1,800,1,2,1,8,8,320,320,320,0,0.912839
1,64,5,1,2,10,16,320,320,320,0,0.763508
1,1,800,4,2,4,4,320,320,320,0,0.952427
2,1,20,20,16,4,4,320,320,320,0,0.917066
3,4,1,100,8,4,8,320,320,320,0,0.896279
2,1,4,40,32,20,1,320,320,320,0,0.767805
0,1,100,4,4,64,1,320,320,320,0,0.95001
1,1,32,4,8,50,2,320,320,320,0,0.763554
0,16,2,4,5,32,5,320,320,320,0,0.913968
1,64,2,5,1,4,40,320,320,320,0,0.894231
1,10,10,1,128,8,1,320,320,320,0,0.9092
3,16,5,4,5,4,16,320,320,320,0,0.958502
1,25,1,4,512,1,2,320,320,320,0,0.961817
1,10,32,5,8,2,4,320,320,320,0,0.986463
1,40,1,4,2,20,16,320,320,320,0,0.895351
3,16,50,4,16,1,2,320,320,320,0,0.732103
0,80,2,4,2,8,10,320,320,320,0,0.733088
1,1,2,64,2,8,50,320,320,320,0,0.964958
1,2,20,8,2,8,20,320,320,320,0,0.904755
0,5,16,8,2,20,4,320,320,320,0,0.907019
1,16,200,1,1,8,4,320,320,320,0,0.951997
1,4,4,50,2,8,8,320,320,320,0,0.95264
1,25,8,2,1,64,4,320,320,320,0,0.913118
1,16,2,5,1,64,10,320,320,320,0,0.91285
1,2,20,5,2,128,2,320,320,320,0,0.937266
1,32,1,4,10,16,5,320,320,320,0,0.943099
1,2,16,20,8,10,2,320,320,320,0,0.975815
3,1,40,40,2,4,8,320,320,320,0,0.458417
3,2,800,1,2,8,4,320,320,320,0,0.853705
3,1,40,40,4,16,1,320,320,320,0,0.915095
1,64,5,1,10,1,32,320,320,320,0,0.492991
1,20,16,2,5,1,32,320,320,320,0,0.489385
1,2,50,16,32,2,1,320,320,320,0,0.939867
1,8,10,5,8,4,8,320,320,320,0,0.487125
1,4,100,8,1,32,1,320,320,320,0,0.956127
1,8,10,5,8,1,32,320,320,320,0,0.897713
2,160,2,5,2,2,16,320,320,320,0,0.927382
1,1,20,80,2,8,4,320,320,320,0,0.922449
0,4,400,1,32,2,1,320,320,320,0,0.826248
1,16,2,4,20,5,8,320,320,320,0,0.939836
1,100,4,1,32,2,4,320,320,320,0,0.954602
1,25,1,16,1,256,1,320,320,320,0,0.49868
1,1,20,20,4,32,2,320,320,320,0,0.901803
1,20,4,4,2,32,5,320,320,320,0,0.933681
1,16,4,2,20,20,2,320,320,320,0,0.898316
1,40,8,1,8,8,5,320,320,320,0,0.89513
1,4,1,800,16,1,2,320,320,320,0,0.923208
1,16,10,1,20,32,1,320,320,320,0,0.896294
1,1,16,8,80,5,2,320,320,320,0,0.900203
1,1,100,4,1,128,2,320,320,320,0,0.902978
1,4,4,10,10,4,16,320,320,320,0,0.931081
1,4,4,20,4,8,10,320,320,320,0,0.879244
0,1600,1,1,4,16,1,320,320,320,0,0.900305
1,20,10,2,2,64,2,320,320,320,0,0.933144
1,4,8,4,25,32,1,320,320,320,0,0.90805
1,160,1,1,4,8,20,320,320,320,0,0.971879
1,10,8,4,4,80,1,320,320,320,0,0.949286
1,1,10,32,20,8,2,320,320,320,0,0.954645
1,10,5,16,4,4,8,320,320,320,0,0.873035
1,8,25,2,128,1,2,320,320,320,0,0.908396
1,1,1,200,128,1,4,320,320,320,0,0.763332
1,2,80,4,40,4,1,320,320,320,0,0.710549
3,32,2,2,20,5,8,320,320,320,0,0.9368
2,2,32,5,16,10,2,320,320,320,0,0.763517
3,32,2,2,2,20,20,320,320,320,0,0.961056
1,1,100,1,4,32,8,320,320,320,0,0.894972
1,4,4,10,16,20,2,320,320,320,0,0.924226
1,16,20,1,40,8,1,320,320,320,0,0.93354
1,4,200,1,128,1,1,320,320,320,0,0.89703
1,8,25,4,2,1,64,320,320,320,0,0.885876
1,4,5,16,1,64,5,320,320,320,0,0.907679
1,4,1,40,2,20,16,320,320,320,0,0.897458
1,20,5,8,4,8,4,320,320,320,0,0.985503
1,25,2,2,32,1,32,320,320,320,0,0.97303
1,2,100,1,16,2,16,320,320,320,0,0.912702
3,400,1,8,1,32,1,320,320,320,0,0.909175
